epoch,train_loss,train_acc,test_acc,test_loss
1,1.676714,47.15,84.92,0.613605
2,1.010032,68.14,91.41,0.333253
3,0.783628,76.17,93.09,0.252941
4,0.585110,82.22,96.06,0.153308
5,0.448968,86.38,96.91,0.108995
6,0.368082,88.69,97.50,0.094444
7,0.331618,89.93,97.55,0.079148
8,0.292748,90.99,97.56,0.075206
9,0.270159,91.60,98.07,0.061452
10,0.242978,92.55,98.16,0.053288
11,0.224295,92.89,98.37,0.051107
12,0.213907,93.18,98.42,0.043727
13,0.211207,93.41,98.70,0.040174
14,0.196685,93.87,98.70,0.035719
15,0.179789,94.38,98.93,0.031817
16,0.175472,94.57,98.84,0.033980
17,0.170116,94.79,98.86,0.033839
18,0.166396,94.79,98.92,0.031343
19,0.159135,94.95,99.05,0.029584
20,0.154104,95.09,99.03,0.029537
21,0.147425,95.35,99.11,0.025381
22,0.141667,95.43,99.04,0.028573
23,0.139469,95.62,99.10,0.024591
24,0.137927,95.64,99.09,0.026386
25,0.135603,95.71,99.08,0.027205
26,0.125723,96.00,99.13,0.025251
27,0.124770,96.08,99.11,0.024842
28,0.124073,96.03,99.03,0.027463
29,0.123367,96.04,99.16,0.021961
30,0.113578,96.36,99.23,0.022634
31,0.111573,96.45,99.24,0.021426
32,0.111679,96.40,99.38,0.019079
33,0.107395,96.65,99.34,0.019976
34,0.107161,96.61,99.35,0.019371
35,0.104120,96.68,99.31,0.020622
36,0.100145,96.83,99.34,0.018742
37,0.098872,96.81,99.36,0.018119
38,0.098867,96.87,99.39,0.017177
39,0.095456,97.03,99.43,0.016828
40,0.095627,96.91,99.35,0.017350
41,0.091765,97.02,99.38,0.017865
42,0.091537,97.11,99.42,0.016526
43,0.087863,97.13,99.46,0.016552
44,0.088786,97.14,99.39,0.016469
45,0.086594,97.27,99.38,0.016229
46,0.084345,97.24,99.38,0.016317
47,0.090349,97.21,99.39,0.016170
48,0.085077,97.31,99.41,0.016049
49,0.086348,97.21,99.41,0.016048
50,0.085515,97.29,99.42,0.016017
